Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Nombre de pièces, Surface réelle bati, Surface terrain
2014,Vente,340000,95,RUE,GUYNEMER CAUD,33200,1,4,69,445
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,1,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,1,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,2,1,35,107
2014,Vente,400000,21,RUE,MINVIELLE,33000,3,0,0,107
2014,Vente,480000,72,RUE,DAVID JOHNSTON,33000,1,5,132,149
2014,Vente,257000,21,RUE,PAULIN,33000,4,0,69,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,2,30,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,2,30,110
2014,Vente,257000,21,RUE,PAULIN,33000,2,1,28,110
2014,Vente,745000,36,RUE,BORIE,33300,4,0,315,191
2014,Vente,290000,4,RUE,DES HORTENSIAS,33200,1,4,71,528
2014,Vente,600000,41,RUE,PASTEUR,33200,2,2,43,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,1,36,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,2,74,185
2014,Vente,600000,41,RUE,PASTEUR,33200,2,2,73,185
2014,Vente,600000,41,RUE,PASTEUR,33200,3,0,0,185
2014,Vente,600000,41,RUE,PASTEUR,33200,3,0,0,185
2014,Vente,233000,8,RUE,MAURICE RAVEL,33200,1,4,78,208
2014,Vente,250000,10,RUE,DES LISERONS,33200,1,4,97,601
2014,Vente,290000,61,AV,RAYMOND POINCARE,33200,1,3,75,697
2014,Vente,250000,11,RUE,CLAUDE DEBUSSY,33200,1,3,57,506
2014,Vente,413853,134,RUE,BERNARD ADOUR CAUD,33200,1,4,110,136
2014,Vente,230000,12,RUE,PIERRE BROSSOLETTE,33200,1,3,56,211
2014,Vente,320000,298,RUE,PASTEUR,33200,1,3,85,479
2014,Vente,197750,69,RUE,DU MARECHAL JOFFRE CAUD,33200,1,2,61,198
2014,Vente,286000,187,RUE,BERNARD ADOUR CAUD,33200,1,4,103,258
2014,Vente,182938,39,CRS,LOUIS FARGUES,33300,4,0,1622,1368
2014,Vente,182938,39,CRS,LOUIS FARGUES,33300,4,0,1119,1368
2014,Vente,389000,262,RUE,JUDAIQUE,33000,1,4,88,89
2014,Vente,325000,10,RUE,SAINT ETIENNE,33000,1,3,89,57
2014,Vente,764500,21,RUE,DE LA CROIX BLANCHE,33000,1,8,270,190
2014,Vente,410000,131,RUE,DE LA LIBERTE,33200,1,4,100,385
2014,Vente,410000,131,RUE,DE LA LIBERTE,33200,4,0,361,385
2014,Vente,550000,128,RUE,MANDRON,33000,1,4,121,238
2014,Vente,550000,223,RUE,JUDAIQUE,33000,1,4,124,133
2014,Vente,315000,121,RUE,MANDRON,33000,2,3,76,172
2014,Vente,315000,121,RUE,MANDRON,33000,2,2,24,172
2014,Vente,315000,121,RUE,MANDRON,33000,2,2,32,172
2014,Vente,315000,121,RUE,MANDRON,33000,2,2,27,172
2014,Vente,558200,74,RUE,SURSON,33300,1,5,140,108
2014,Vente,500000,38,RUE,CAILLOU,33200,1,5,157,881
2014,Vente,380000,6,RUE,AUGUSTE BRUTAILS,33000,1,7,135,82
2014,Vente,330000,58,RUE,CHARLES CHAUMET CAUD,33200,1,4,107,265
2014,Vente,950000,195,AV,MAL DE LATTRE DE TASSIGNY,33200,1,8,252,611
2014,Vente,950000,195,AV,MAL DE LATTRE DE TASSIGNY,33200,1,8,252,533
2014,Vente,950000,195,AV,MAL DE LATTRE DE TASSIGNY,33200,1,8,252,328
2014,Vente,295000,16,RUE,JEAN COUDANNE,33200,3,0,0,116
2014,Vente,295000,16,RUE,JEAN COUDANNE,33200,2,4,95,116
2014,Vente,295000,16,RUE,JEAN COUDANNE,33200,3,0,0,116
2014,Vente,465000,6,RUE,MARCELIN JOURDAN,33200,1,5,135,134
2014,Vente,245000,16,RUE,DAUPHINE,33200,4,0,0,277
2014,Vente,245000,16,RUE,DAUPHINE,33200,1,4,62,277
2014,Vente,390000,5,RUE,PIERRE LOTI CAUD,33200,1,5,121,217
2014,Vente,380000,75,RUE,DUCAU,33000,2,2,50,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,2,35,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,2,45,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,2,42,208
2014,Vente,380000,75,RUE,DUCAU,33000,2,2,42,208
2014,Vente,683000,62,CRS,PORTAL,33000,4,0,373,126
2014,Vente,645000,22,RUE,DE LA JALLE,33000,1,4,140,236
2014,Vente,559180,9,RUE,BOISTAUD,33200,3,0,0,416
2014,Vente,559180,9,RUE,BOISTAUD,33200,2,4,80,416
2014,Vente,559180,9,RUE,BOISTAUD,33200,2,3,40,416
2014,Vente,223000,20,RUE,ESPIOT,33200,1,2,44,110
2014,Vente,330500,11,RUE,ROSNY,33200,1,4,71,94
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,3,80,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,3,80,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,4,60,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,3,65,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,4,60,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,4,0,462,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,2,35,519
2014,Vente,1120000,39,QUAI,BACALAN,33300,2,4,60,519
2014,Vente,440000,1,PAS,ROBERT PICQUE,33000,1,7,170,65
2014,Vente,191000,112,RUE,ETCHENIQUE,33200,1,3,60,123
2014,Vente,240000,66,RUE,PETIT PARC,33200,1,3,49,266
2014,Vente,466000,108,RUE,DES ORANGERS,33200,1,4,158,687
2014,Vente,466000,108,RUE,DES ORANGERS,33200,1,4,158,511
2014,Vente,375000,3,RUE,CLAUDE DEBUSSY,33200,1,4,100,503
2014,Vente,384007,66,RUE,DE CAPEYRON CAUD,33200,1,4,110,197
2014,Vente,250000,8,RUE,CHARLES BAUDELAIRE,33200,1,2,61,373
2014,Vente,200000,56,RUE,DES LIEGES,33200,1,3,60,428
2014,Vente,523000,89,RUE,MONTGOLFIER,33000,1,5,160,181
2014,Vente,190000,21,RUE,DUPLEIX,33300,1,3,68,183
2014,Vente,409000,68,RUE,CEREY,33200,1,3,80,493
2014,Vente,680000,91,RUE,DE LA COURSE,33000,1,6,186,158
2014,Vente,920000,14,RUE,ROBOREL DE CLIMENS,33000,1,7,177,318
2014,Vente,147650,42,RUE,GENERAL CASTELNAU,33200,1,2,35,137
2014,Vente,147650,42,RUE,GENERAL CASTELNAU,33200,1,2,63,137
2014,Vente,427000,5,RUE,LUCKNER,33000,2,2,31,114
2014,Vente,427000,5,RUE,LUCKNER,33000,2,2,40,114
2014,Vente,427000,5,RUE,LUCKNER,33000,2,3,48,114
2014,Vente,330000,165,RUE,MONDENARD,33000,1,3,80,124
2014,Vente,730000,9,RUE,LOUIS SABOURIN,33200,1,5,160,719
2014,Vente,140500,5,RUE,DE LEYBARDIE,33300,1,3,92,91
2014,Vente,760000,53,RUE,LAGRANGE,33000,1,5,95,483
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,3,0,0,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,3,0,0,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,2,3,60,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,2,3,80,181
2014,Vente,500000,43,RUE,MONTGOLFIER,33000,2,2,50,181
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,3,45,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,2,30,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,1,25,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,2,45,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,2,40,164
2014,Vente,530000,2,RUE,MINVIELLE,33000,2,2,36,164
2014,Vente,590000,19,RUE,CHAUFFOUR,33000,1,4,165,167
2014,Vente,630000,39,RUE,CHARLES MONSELET,33000,1,8,270,348
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,4,0,55,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,4,102,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,3,82,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,3,77,123
2014,Vente,1100000,65,CRS,D ALSACE LORRAINE,33000,2,3,81,123
2014,Vente,321000,41,RUE,FRANCOIS MARCEAU,33200,1,5,100,186
2014,Vente,521200,7,RUE,DE NADEAU,33200,1,0,16,90
2014,Vente,1137500,25,RUE,DU SACRE COEUR CAUD,33200,1,5,257,902
