Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,34.92,35.4,34.1,35.12,27.19,13767900
2013-01-03,35.0,35.0,34.16,34.83,26.97,16739300
2013-01-04,34.62,34.89,34.25,34.39,26.63,21372100
2013-01-07,34.15,35.45,34.15,34.46,26.68,17897100
2013-01-08,34.29,34.64,33.36,33.71,26.1,17863300
2013-01-09,33.61,33.95,33.61,33.9,26.25,18800400
2013-01-10,33.66,34.0,33.33,34.0,26.33,15658100
2013-01-11,33.59,33.9,33.35,33.85,26.52,11191500
2013-01-14,34.01,34.25,33.8,34.09,26.71,11584900
2013-01-15,33.71,34.72,33.71,34.6,27.11,13040200
2013-01-16,34.47,35.54,34.45,35.54,27.85,16512700
2013-01-17,35.75,36.7,35.75,36.42,28.54,14424800
2013-01-18,36.43,37.32,36.04,37.32,29.24,17842200
2013-01-22,36.98,37.25,35.93,36.42,28.54,15809700
2013-01-23,36.91,37.84,36.5,37.8,29.62,10981600
2013-01-24,37.79,38.52,37.23,37.46,29.35,11327100
2013-01-25,37.52,37.84,36.64,37.6,29.46,8934600
2013-01-28,37.65,37.87,36.71,36.89,28.9,7140100
2013-01-29,36.71,37.46,36.25,37.31,29.23,8838500
2013-01-30,36.81,37.53,36.81,36.93,28.94,10841800
2013-01-31,36.84,36.93,36.27,36.69,28.75,10720700
2013-02-01,36.84,37.2,36.52,37.18,29.13,9527500
2013-02-04,36.64,37.3,36.55,37.28,29.21,6348000
2013-02-05,37.42,37.73,37.18,37.2,29.15,7284400
2013-02-06,36.96,37.28,36.86,37.14,29.1,5738900
2013-02-07,37.57,37.57,35.8,36.42,28.54,9872500
2013-02-08,36.37,36.42,35.83,36.25,28.4,13858700
2013-02-11,36.13,36.18,35.75,35.85,28.09,6032100
2013-02-12,35.77,35.9,35.2,35.42,27.75,7473800
2013-02-13,35.42,35.57,35.15,35.27,27.63,4859800
2013-02-14,35.05,36.73,35.01,36.57,28.65,7570100
2013-02-15,36.93,37.81,36.93,37.58,29.44,13296300
2013-02-19,37.54,38.33,37.11,38.19,29.92,8292700
2013-02-20,38.16,39.13,37.61,38.61,30.25,8096400
2013-02-21,38.49,39.03,38.19,38.78,30.38,7260900
2013-02-22,38.79,38.85,38.14,38.46,30.13,4490400
2013-02-25,38.54,38.61,37.37,37.37,29.28,4665600
2013-02-26,37.6,37.6,36.96,37.09,29.06,4463000
2013-02-27,36.97,36.98,36.4,36.73,28.78,12238400
2013-02-28,36.66,37.14,36.5,36.92,28.93,10321000
2013-03-01,36.8,38.07,36.55,37.81,29.62,8929400
2013-03-04,37.53,38.25,37.53,38.24,29.96,5420800
2013-03-05,38.45,38.57,37.29,37.51,29.39,6650400
2013-03-06,37.56,37.86,37.37,37.74,29.57,5489500
2013-03-07,37.65,38.01,37.44,37.49,29.37,4442500
2013-03-08,37.64,37.65,37.16,37.34,29.26,4114500
2013-03-11,37.25,38.15,37.08,37.67,29.52,4614400
2013-03-12,37.7,38.3,37.05,37.17,29.12,6523900
2013-03-13,37.2,37.59,37.04,37.17,29.12,3710600
2013-03-14,37.43,37.59,36.86,37.56,29.43,9859700
2013-03-15,37.44,38.54,37.28,38.5,30.17,12208300
2013-03-18,38.05,38.49,37.99,38.16,29.9,5178700
2013-03-19,38.25,38.4,37.84,38.36,30.06,5108400
2013-03-20,38.5,39.19,38.41,39.06,30.6,7072900
2013-03-21,38.82,38.97,38.48,38.49,30.16,4736100
2013-03-22,38.57,38.97,38.3,38.97,30.53,3323400
2013-03-25,39.12,39.52,38.93,39.32,30.81,6065000
2013-03-26,39.57,40.52,39.57,40.21,31.51,7249500
2013-03-27,40.22,40.29,39.66,40.15,31.46,4274800
2013-03-28,40.26,40.8,39.78,40.78,31.95,7263400
2013-04-01,39.96,41.14,39.96,41.12,32.22,5740000
2013-04-02,41.22,41.22,40.52,40.71,31.9,5510700
2013-04-03,40.75,41.45,40.35,40.57,31.79,4122100
2013-04-04,40.77,41.78,40.62,41.6,32.59,20687600
2013-04-05,41.31,41.5,41.09,41.31,32.37,14089800
2013-04-08,41.27,41.87,41.07,41.77,32.73,16449200
2013-04-09,41.96,43.56,41.8,42.55,33.34,8673900
2013-04-10,42.65,43.77,42.5,43.62,34.18,7809200
2013-04-11,43.42,43.71,43.11,43.2,34.16,6494100
2013-04-12,42.97,43.29,42.62,43.09,34.07,4199800
2013-04-15,42.87,43.03,41.41,41.44,32.77,7152500
2013-04-16,41.67,42.53,41.13,42.45,33.57,6998000
2013-04-17,42.14,42.43,41.42,42.24,33.4,5046200
2013-04-18,42.37,42.64,41.89,42.32,33.47,5009000
2013-04-19,42.51,42.58,42.2,42.39,33.52,6493200
2013-04-22,43.0,44.83,42.88,44.2,34.95,8531300
2013-04-23,44.61,46.32,44.4,45.14,35.7,9378100
2013-04-24,45.14,45.34,43.94,44.32,35.05,5541300
2013-04-25,44.75,44.79,43.76,44.24,34.98,5236900
2013-04-26,44.95,46.31,44.75,45.84,36.25,10096800
2013-04-29,45.83,45.93,45.05,45.23,35.77,6024700
2013-04-30,45.05,46.23,45.01,46.05,36.42,6798600
2013-05-01,45.74,46.09,45.55,45.55,36.02,6398100
2013-05-02,45.68,45.68,43.86,43.99,34.79,9649400
2013-05-03,44.31,44.77,43.83,44.68,35.33,4641200
2013-05-06,44.95,44.95,44.15,44.59,35.26,4085700
2013-05-07,44.5,45.0,44.42,44.91,35.51,3745600
2013-05-08,45.01,45.05,43.39,43.49,34.39,6973200
2013-05-09,43.34,44.45,43.25,44.24,34.98,5046900
2013-05-10,44.21,45.01,44.2,45.01,35.59,4455800
2013-05-13,44.79,44.79,44.17,44.54,35.22,3738400
2013-05-14,44.09,45.52,44.09,45.35,35.86,5760300
2013-05-15,45.72,46.93,45.48,46.03,36.4,6702500
2013-05-16,46.06,46.9,46.01,46.21,36.54,4605300
2013-05-17,46.03,47.34,45.85,47.17,37.3,5244800
2013-05-20,47.12,47.14,46.07,46.26,36.58,3537800
2013-05-21,46.19,46.96,46.17,46.54,36.8,4708800
2013-05-22,46.46,48.0,45.85,46.76,36.98,5203500
2013-05-23,46.12,46.95,46.02,46.59,36.84,3306200
2013-05-24,46.25,46.48,45.31,45.44,35.93,4511700
2013-05-28,45.89,46.04,44.7,45.39,35.89,6181800
2013-05-29,44.89,45.18,43.79,43.88,34.7,6908400
2013-05-30,44.07,45.12,44.07,44.55,35.23,4852200
2013-05-31,44.27,44.69,42.68,42.69,33.76,9308800
2013-06-03,42.88,43.58,42.75,43.36,34.29,7176800
2013-06-04,43.42,44.47,43.38,43.63,34.5,4528400
2013-06-05,43.49,43.9,42.69,43.04,34.03,4801300
2013-06-06,43.22,43.57,42.65,43.5,34.4,4261300
