Date de Vente, Nature de la vente, Prix, Numero de voie, Type de voie, Nom de voie, Code postal, Code type local, Surface réelle bati, Surface terrain
2014,Vente,540000,371,BD,DU PRESIDENT WILSON,33200,1,174,487
2014,Vente,170000,25,RUE,SOUBIRAS CAUD,33200,1,59,240
2014,Vente,1788000,22,RUE,BORIE,33300,1,328,377
2014,Vente,280000,35,RUE,VIRGINIA,33200,1,114,510
2014,Vente,336400,73,RUE,ETCHENIQUE,33200,1,60,229
2014,Vente,424025,179,RUE,BARREYRE,33300,1,98,217
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,2,39,486
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,4,849,486
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,2,39,486
2014,Vente,1900000,20,RUE,DES REMPARTS,33000,2,39,486
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,2,60,96
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,2,60,96
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,3,0,96
2014,Vente,600000,61,RUE,GEORGES BONNAC,33000,2,40,96
2014,Vente,575000,47,RUE,ETIENNE LHOSTE,33200,1,180,144
2014,Vente,575000,47,RUE,ETIENNE LHOSTE,33200,1,180,555
2014,Vente,790000,28,RUE,RAMONET,33000,1,168,131
2014,Vente,489000,61,RUE,DU VELODROME,33200,1,180,371
2014,Vente,295000,34,BD,PIERRE 1ER,33000,1,100,82
2014,Vente,258000,39,RUE,RENAULT,33200,1,102,215
2014,Vente,543900,8,RUE,SAINT HUBERT,33000,1,98,154
2014,Vente,590000,6,RUE,ERNEST RENAN,33000,1,160,162
2014,Vente,279000,261,RUE,CAMILLE GODARD,33000,1,85,78
2014,Vente,10200,19,RUE,DES FRERES FAUCHER,33000,1,85,193
2014,Vente,383000,6,RUE,BARREYRE,33300,2,30,45
2014,Vente,383000,6,RUE,BARREYRE,33300,2,30,45
2014,Vente,383000,6,RUE,BARREYRE,33300,2,30,45
2014,Vente,383000,6,RUE,BARREYRE,33300,2,30,45
2014,Vente,282500,8,RUE,DELACROIX,33200,1,98,395
2014,Vente,275000,18,AV,GEORGES CLEMENCEAU CAUD,33200,1,72,245
2014,Vente,595300,44,RUE,DES FRERES FAUCHER,33000,1,103,169
2014,Vente,570000,52,BD,PIERRE 1ER,33000,4,60,351
2014,Vente,570000,52,BD,PIERRE 1ER,33000,4,60,351
2014,Vente,570000,52,BD,PIERRE 1ER,33000,4,65,351
2014,Vente,570000,52,BD,PIERRE 1ER,33000,2,112,351
2014,Vente,625000,4,RUE,SAINT FORT,33000,1,144,56
2014,Vente,625000,6,RUE,SAINT FORT,33000,1,150,82
2014,Vente,254750,14,RUE,DE LACANAU,33000,1,50,79
2014,Vente,300000,18,RUE,PENICAUD,33300,2,44,57
2014,Vente,300000,18,RUE,PENICAUD,33300,2,27,57
